,Team,TeamID,Opponent,OpponentID,TeamScore,TeamWKLoss,TeamOversPlayed,OpponentScore,OpponentWKLoss,OpponentOversPlayed,IsFirstInning,BattingOrder,HasBatted,PlayerID,PlayerName,Status,RunsScored,BallsPlayed,FoursHit,SixesHit,StrikeRate,Position,FullPosition,PlayingOrder,Minutes,DerivedPosition,GuessPosition,Over,Maiden,RunsGiven,WKTaken,Econ,Wides,NoBall,DotBalls,FoursGiven,SixesGiven,Winner,MOM,GameType,Season,Date,MatchStatus,Venue,Format,League,Catch,Bowled,CaughtBowled,Lbw,Stumped,DirectRunout,IndirectRunout,GameID
10,MAR,1198,SOC,1158,131,6,10,88,5,10,1.0,4.0,1.0,3259,Niraj Khanna,runout (Ryan RIcky Bastiansz),32.0,14,3,2,228.57,null,3,4.0,null,null,null,,,,,,,,,,,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
14,MAR,1198,SOC,1158,131,6,10,88,5,10,1.0,5.0,1.0,3265,Haroon Mughal,runout (Ishantha Kariyawasam / Muhammad Bilal),19.0,5,0,3,380,null,2,5.0,null,null,null,2.0,0.0,17.0,1.0,8.5,0.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
12,MAR,1198,SOC,1158,131,6,10,88,5,10,1.0,6.0,1.0,3261,Sumair Khan,Not out,8.0,4,0,1,200,null,4,6.0,null,null,null,,,,,,,,,,,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
2,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,1.0,1.0,2913,Ryan RIcky Bastiansz,b Waseem Abbas,33.0,13,2,3,253.85,null,4,1.0,null,null,null,,,,,,,,,,,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
5,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,2.0,1.0,2919,Zeeshan Yousaf,c Zeeshan Khan b Waseem Abbas,4.0,8,0,0,50,null,6,2.0,null,null,null,2.0,0.0,13.0,0.0,6.5,1.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
3,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,3.0,1.0,2917,MIchael Goonetilleke,b Haroon Mughal,1.0,3,0,0,33.33,null,2,3.0,null,null,null,,,,,,,,,,,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
1,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,4.0,1.0,2911,Gopal Thakur,c Glenn Tavilla b Fanyan Mughal,24.0,18,2,1,133.33,null,3,4.0,null,null,null,,,,,,,,,,,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
9,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,5.0,1.0,3175,Gaurav Maithani,c Zeeshan Khan b Noshair Akhter,4.0,11,0,0,36.36,null,4,5.0,null,null,null,,,,,,,,,,,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
8,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,6.0,1.0,2923,Muhammad Bilal,Not out,5.0,7,0,0,71.43,null,6,6.0,null,null,null,2.0,0.0,16.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
0,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,7.0,1.0,2910,Ishantha Kariyawasam,Not out,0.0,0,0,0,0,null,4,7.0,null,null,null,2.1,0.0,31.0,2.0,14.31,0.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
4,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,,0.0,2918,Eardley Chandiram,Null,,,,,,,,,,,,2.0,0.0,28.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
6,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,,0.0,2920,Jojo Thomas,Null,,,,,,,,,,,,1.0,0.0,21.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
7,SOC,1158,MAR,1198,88,5,10,131,6,10,0.0,,0.0,2922,Lakshitha Senavirathna,Null,,,,,,,,,,,,1.0,0.0,20.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
16,MAR,1198,SOC,1158,131,6,10,88,5,10,0.0,,0.0,3267,Glenn Tavilla,Null,,,,,,,,,,,,2.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
17,MAR,1198,SOC,1158,131,6,10,88,5,10,0.0,,0.0,3268,Noshair Akhter,Null,,,,,,,,,,,,2.0,0.0,31.0,1.0,15.5,3.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
18,MAR,1198,SOC,1158,131,6,10,88,5,10,0.0,,0.0,3270,Waseem Abbas,Null,,,,,,,,,,,,2.0,0.0,11.0,2.0,5.5,1.0,0.0,0.0,0.0,0.0,MAR,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204SOCMAR_1
,Team,TeamID,Opponent,OpponentID,TeamScore,TeamWKLoss,TeamOversPlayed,OpponentScore,OpponentWKLoss,OpponentOversPlayed,IsFirstInning,BattingOrder,HasBatted,PlayerID,PlayerName,Status,RunsScored,BallsPlayed,FoursHit,SixesHit,StrikeRate,Position,FullPosition,PlayingOrder,Minutes,DerivedPosition,GuessPosition,Over,Maiden,RunsGiven,WKTaken,Econ,Wides,NoBall,DotBalls,FoursGiven,SixesGiven,Winner,MOM,GameType,Season,Date,MatchStatus,Venue,Format,League,Catch,Bowled,CaughtBowled,Lbw,Stumped,DirectRunout,IndirectRunout,GameID
1,AUK,1196,MSW,1199,95,4,10,81,7,10,1.0,1.0,1.0,3243,Samuel Sanish Mangat Stanislaus,lbw b Tito Thomes,40.0,25,2,3,160,null,4,1.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
2,AUK,1196,MSW,1199,95,4,10,81,7,10,1.0,2.0,1.0,3248,Basil George,b Tom Thomas,6.0,4,1,0,150,null,2,2.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
0,AUK,1196,MSW,1199,95,4,10,81,7,10,1.0,3.0,1.0,3240,Avinash Dileep,b Tito Thomes,30.0,17,3,1,176.47,null,3,3.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
4,AUK,1196,MSW,1199,95,4,10,81,7,10,1.0,4.0,1.0,3250,Eldhose Mathew,Not out,6.0,7,0,0,85.71,null,6,4.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
6,AUK,1196,MSW,1199,95,4,10,81,7,10,1.0,5.0,1.0,3252,Manoj Salikumar Panicker,b Tito Thomes,2.0,3,0,0,66.67,null,2,5.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
8,AUK,1196,MSW,1199,95,4,10,81,7,10,1.0,6.0,1.0,3254,Justin Shaju,Not out,2.0,4,0,0,50,null,6,6.0,null,null,null,2.0,0.0,22.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
11,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,1.0,1.0,3274,Samuel George,runout (Bose Paul / Nithin K Babu),10.0,9,2,0,111.11,null,3,1.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
14,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,2.0,1.0,3279,Tito Thomes,runout (Ajay John / Avinash Dileep),0.0,0,0,0,0,null,4,2.0,null,null,null,2.0,0.0,14.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
13,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,3.0,1.0,3276,Justin George,c Eldhose Mathew b Bose Paul,7.0,6,1,0,116.67,null,4,3.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
12,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,4.0,1.0,3275,Akhil Piostine,lbw b Bose Paul,0.0,2,0,0,0,null,4,4.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
10,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,5.0,1.0,3273,Rahul Nair,Not out,42.0,29,2,4,144.82,null,4,5.0,null,null,null,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
16,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,6.0,1.0,3283,Renil Paul,runout (Bose Paul),4.0,5,0,0,80,null,4,6.0,null,null,null,,,,,,,,,,,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
15,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,7.0,1.0,3282,Salu Thomas,lbw b Sujesh K Appu,1.0,2,0,0,50,null,2,7.0,null,null,null,2.0,0.0,24.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
18,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,8.0,1.0,3286,Shijil Joy,runout (Nithin K Babu / Bose Paul),0.0,4,0,0,0,null,6,8.0,null,null,null,1.0,0.0,20.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
17,MSW,1199,AUK,1196,81,7,10,95,4,10,0.0,9.0,1.0,3285,Basil Joy,Not out,1.0,3,0,0,33.33,null,6,9.0,null,null,null,2.0,0.0,16.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
3,AUK,1196,MSW,1199,95,4,10,81,7,10,0.0,,0.0,3249,Sujesh K Appu,Null,,,,,,,,,,,,2.0,0.0,13.0,1.0,6.5,2.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
5,AUK,1196,MSW,1199,95,4,10,81,7,10,0.0,,0.0,3251,Asif Sha,Null,,,,,,,,,,,,2.0,0.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
7,AUK,1196,MSW,1199,95,4,10,81,7,10,0.0,,0.0,3253,Bose Paul,Null,,,,,,,,,,,,2.0,1.0,11.0,2.0,5.5,4.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
9,AUK,1196,MSW,1199,95,4,10,81,7,10,0.0,,0.0,3256,Nithin K Babu,Null,,,,,,,,,,,,2.0,0.0,27.0,0.0,13.5,3.0,0.0,0.0,0.0,0.0,AUK,0,DRR,2020,2020-12-04,FINISHED,"Marsa Sports Club, Malta, Malta",t20,ECS Malta T10,0,0,0,0,0,0,0,20201204AUKMSW_1
